2021-04-16 20:02:24 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:24 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:24 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:24 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:24 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:24 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:24 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:24 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:24 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:24 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:25 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:25 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:25 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:25 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:25 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:25 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:25 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:25 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:25 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:25 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:25 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:25 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:26 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:26 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:26 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:26 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:26 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:26 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:26 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:26 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:26 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:26 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:26 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:26 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:27 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:27 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:27 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:27 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:27 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:27 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:27 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:27 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:27 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:27 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:27 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:27 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:28 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
